mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480
24.07142857,-0.031393443,0.419182879,24.07142857,-0.031393443,0.419182879,53.85714286,0.058196721,0.899735411,53.85714286,0.058196721,0.899735411,0.542857143,-0.000819672,0.243975018,0.542857143,-0.000819672,0.243975018,414.8571429,-6.964754098,140.0921465,414.8571429,-6.964754098
23.2,0.008,0.081649658,23.2,0.008,0.081649658,55.25,-0.02,0.5,55.25,-0.02,0.5,0.525,-0.03,0.25,0.525,-0.03,0.25,326.25,3.66,43.63771305,326.25,3.66
18.24545455,-0.032827417,0.691901202,19.48333333,-0.061015208,1.845264209,68.09090909,0.101835985,2.071450963,64.61111111,0.175868668,5.315226617,0.718181818,-0.025679315,0.677964869,0.705555556,-0.005899889,0.54392065,39.27272727,-0.785067319,18.54772713,58.83333333,-1.222540034
16.83333333,-0.012285714,0.150554531,16.83333333,-0.012285714,0.150554531,72.83333333,0.1,1.169045194,72.83333333,0.1,1.169045194,0.0,0.0,0.0,0.0,0.0,0.0,2.166666667,-0.262857143,3.710345896,2.166666667,-0.262857143
17.05,0.031059507,0.728010989,17.05,0.031059507,0.728010989,73.16666667,-0.115529753,3.040135563,73.16666667,-0.115529753,3.040135563,0.033333333,-0.002206096,0.115470054,0.033333333,-0.002206096,0.115470054,0.0,0.0,0.0,0.0,0.0
16.7,-0.08,0.282842712,16.7,-0.08,0.282842712,71.5,0.2,0.707106781,71.5,0.2,0.707106781,1.55,-0.1,0.353553391,1.55,-0.1,0.353553391,0.0,0.0,0.0,0.0,0.0
15.78,-0.056,0.44384682,15.78,-0.056,0.44384682,76.4,0.26,2.073644135,76.4,0.26,2.073644135,0.16,-0.024,0.219089023,0.16,-0.024,0.219089023,0.0,0.0,0.0,0.0,0.0
12.16,-0.02046595,0.365756446,14.47027027,-0.015851195,1.750692699,89.0,0.103942652,1.885618083,80.2972973,0.049013697,7.027188725,0.12,0.006021505,0.193218357,0.118918919,-0.000383066,0.185349277,0.0,0.0,0.0,0.0,0.0
11.5,-0.009142857,0.089442719,11.5,-0.009142857,0.089442719,92.66666667,0.045714286,0.516397779,92.66666667,0.045714286,0.516397779,0.866666667,0.004571429,0.403319559,0.866666667,0.004571429,0.403319559,0.0,0.0,0.0,0.0,0.0
11.88181818,0.036,0.614521248,10.96829268,0.001539162,0.443576388,96.36363636,-0.045454545,0.924416278,95.93902439,0.005416494,0.87978057,0.290909091,-0.004363636,0.186839747,0.273170732,0.000899897,0.385236429,445.3636364,3.212727273,53.48321742,91.02439024,1.014651242
